ID,Spanish,Norwegian,English,hvordan sover du, ¿Cómo duermes?
1,como,som,as, ¿Cómo duermes?, Hvordan sover du
2,Yo,Jeg, I,Yo estoy feliz, Jeg er glad
3,su,"hans,hennes",Su coche, Hans bil
4,que,at,that,Dijo que la casa es blanca, Han sa at huset er hvitt
5,él,han,he, El es un hombre, Han er en mann
6,era,var,was
7,para,til,for
8,en,i,on
9,son,er,are
10,con,med,with
11,ellos,de,they
12,ser,å være,be
13,en,i,at
14,uno,en,one
15,tener,å ha,have
16,este,Øst,this
17,desde,siden,from
18,por,av,by
19,caliente,varmt,hot
20,palabra,ord,word
21,pero,men,but
22,qué,at,what
23,algunos,noen,some
24,es,er,is
25,lo,den,it
26,usted,du,you
27,o,eller,or
28,tenido,hadde,had
29,la,de,the
30,de,fra,of
31,a,til,to
32,y,og,and
33,un,en,a
34,en,i,in
35,nos,oss,we
36,lata,kan,can
37,fuera,utenfor,out
38,otros,andre,other
39,eran,(de) var,were
40,que,at,which
41,hacer,gjøre,do
42,su,hans hennes deres,their
43,tiempo,vær,time
44,si,Ja,if
45,lo hará,det vil,it will
46,cómo,hvordan,how
47,dicho,(jeg) sa,said
48,un,en,an
49,cada,Hver,each
50,decir,å fortelle å si,tell
51,hacer,å gjøre,to do
52,conjunto,sett,set
53,tres,tre,three
54,querer,å ønske,want
55,aire,luft,air
56,así,så,well
57,también,også,also
58,jugar,spille,play
59,pequeño,litt,small
60,fin,slutt,end
61,poner,sette,put
62,casa,hjem,home
63,leer,å lese,read
64,mano,hånd,hand
65,puerto,havn,port
66,grande,stor,large
67,deletrear,å stave,to spell
68,añadir,å addere,to add
69,incluso,til og med,even
70,tierra,jord,land
71,aquí,her,here
72,deber,må,must
73,grande,stor,big
74,alto,høy,high
75,tal,slik,such
76,seguir,følge,follow
77,acto,handling,act
78,por qué,Hvorfor,why
79,preguntar,spørre,ask
80,hombres,mens,men
81,cambio,endring,change
82,se fue,han gikk bort,went
83,luz,lys,light
84,tipo,snill,kind
85,fuera,utenfor,off
86,necesitará,vil trenge,need
87,casa,hjem,house
88,imagen,bilde,picture
89,tratar,avtale,try
90,nosotros,Vi,us
91,de nuevo,en gang til,again
92,animal,dyr,animal
93,punto,punkt,point
94,madre,mor,mother
95,mundo,verden,world
96,cerca,nær,near
97,construir,bygge,build
98,auto,bil,self
99,tierra,land,earth
100,padre,pappa,father
101,cualquier,noen,any
102,nuevo,ny,new
103,trabajo,jobb,work
104,parte,del,part
105,tomar,ta,take
106,conseguir,å få,get
107,lugar,plass,place
108,hecho,ferdig,made
109,vivir,å leve,live
110,donde,hvor,where
111,después,etter,after
112,espalda,tilbake,back
113,poco,litt,little
114,sólo,alene,only
115,ronda,rund,round
116,hombre,Mann,man
117,años,år,year
118,vino,vin,came
119,show,Vise fram,show
120,cada,Hver,every
121,buena,flink,good
122,me,Jeg,me
123,dar,gi,give
124,nuestro,vår,our
125,bajo,under,under
126,nombre,Navn,name
127,muy,veldig,very
128,a través de,via,through
129,sólo,alene,just
130,forma,skjema,form
131,frase,setning,sentence
132,gran,stor,great
133,pensar,å tenke,think
134,decir,fortelle,say
135,ayudar,å hjelpe,help
136,bajo,under,low
137,línea,linje,line
138,ser distinto,avviker,differ
139,a su vez, samtidig,
140,causa,årsaken,cause
141,mucho,mye,much
142,significará,vil bety,mean
143,antes,før,before
144,movimiento,bevegelse,move
145,derecho,Ikke sant,right
146,niño,gutt,boy
147,viejo,gammel,old
148,demasiado,også,too
149,misma,samme,same
150,ella,hun,she
151,todo,alle,all
152,hay,det er,there
153,cuando,når,when
154,hasta,før,up
155,uso,bruk,use
156,su,det er,your
157,camino,vei,way
158,acerca,Om,about
159,muchos,Mange,many
160,entonces,deretter,then
161,ellos,de,them
162,escribir,å skrive,write
163,haría,ville gjort,would
164,como,Hva,like
165,así,Så,so
166,éstos,disse,these
167,su,det er,her
168,largo,lengde,long
169,hacer,gjøre,make
170,cosa,ting,thing
171,ver,se,see
172,él,han,him
173,dos,to,two
174,tiene,Det har,has
175,buscar,Søk,look
176,más,i tillegg til,more
177,día,dag,day
178,podía,kunne,could
179,ir,å gå,go
180,venir,komme,come
181,hizo,laget,did
182,número,Nummer,number
183,sonar,Drøm,sound
184,no,Nei,no
185,más,i tillegg til,most
186,personas,personer,people
187,mi,meg,my
188,sobre,på,over
189,saber,å vite,know
190,agua,Vann,water
191,que,at,than
192,llamada,anrop,call
193,primero,først,first
194,que,at,who
195,puede,kan,may
196,abajo,ned,down
197,lado,side,side
198,estado,tilstand,been
199,ahora,nå,now
200,encontrar,møte,find
