1,wie,hvordan,how
2,wie,hvordan,how
3,ich,Jeg,I
4,seine,hans,his
5,dass,at,that
6,er,han,he
7,war,var,was
8,für,til,for
9,auf,på,on
10,sind,er,are
11,mit,med,With
12,sie,hun,you
13,sein,være,be
14,bei,på,at
15,ein,en,a 
16,haben,å ha,to have
17,dies,dette,this
18,aus,slutten,out of
19,durch,av,through
20,heiß,varmt,hot
21,Wort,ord,Word
22,aber,men,but
23,was,Hva,What
24,einige,noen,some
25,ist,er,is
26,es,den,it
27,Sie,hun,she
28,oder,eller,or
29,hatte,ville hatt,had
30,die,de,the
31,von,fra,from
32,zu,til,to
33,und,og,and
34,ein,en,a 
35,bei,på,at
36,wir,vær,weather
37,können,kan,be able
38,aus,slutten,out of
39,andere,annen,other
40,waren,var,was
41,die,de,the
42,tun,å gjøre,to do
43,ihre,deres,your
44,Zeit,Tid,time
45,wenn,hvis,if
46,werden,vil,will
47,wie,hvordan,how
48,sagte,sa,said
49,ein,en,a 
50,jeder,alle,everyone
51,sagen,å si,to say
52,tut,gjør,does
53,Satz,setning,Sentence
54,drei,tre,three
55,wollen,ønsker,want
56,Luft,luft,Air
57,gut,Vi vil,Good
58,auch,til og med,also
59,spielen,å leke,to play
60,klein,liten,small
61,Ende,slutt,End
62,setzen,sett,put
63,Zuhause,Hjemme,At home
64,lesen,lese,read
65,seits,på den ene siden,part
66,Hafen,Havn,harbor
67,groß,flott,big
68,buchstabieren,trylleformel,spell
69,hinzufügen,Legge til,Add
70,auch,til og med,also
71,Lande,Land,land
72,hier,her,here
73,muss,må,got to
74,groß,flott,big
75,hoch,høy,high
76,so,så,so
77,folgen,Følg,follow
78,Akt,handling,act
79,warum,Hvorfor,why
80,fragen,spørre,ask
81,Männer,menn,men
82,Veränderung,endring,change
83,ging,gikk,went
84,Licht,lys,light
85,Art,Kunst,kind
86,aus,slutten,out of
87,müssen,må,have to
88,Haus,Hus,a house
89,Bild,bilde,picture
90,versuchen,prøve,to attempt
91,uns,OSS,us
92,wieder,en gang til,once again
93,Tier,dyr,animal
94,Punkt,Punkt,Point
95,Mutter,mor,mother
96,Welt,verden,World
97,in der Nähe von,nær,near
98,bauen,bygge,to build
99,selbst,selv-,self
100,Erde,Jord,Earth
101,Vater,far,Father
102,jeder,alle,everyone
103,neu,Ny,New
104,Arbeit,jobb,work
105,Teil,del,Part
106,nehmen,å ta,take
107,erhalten,få tak i,obtain
108,Ort,plassering,location
109,gemacht,laget,made
110,leben,Liv,Life
111,wo,Hvor,Where
112,nach,etter,to
113,zurück,komme tilbake,return
114,wenig,litt,little
115,nur,kun,just
116,Runde,rund,round
117,Mann,Mann,man
118,Jahr,år,Year
119,kam,kom,came
