1,comme,som,as
2,je,Jeg,I
3,son,hans,his
4,que,enn,that
5,il,han,he
6,était,var,was
7,pour,til,for
8,sur,på,on
9,sont,er,are
10,avec,med,with
11,ils,de,they
12,être,å være,be
13,à,Til,at
14,un,en,one
15,avoir,å ha,have
16,ce,dette,this
17,à partir de,fra,from
18,par,gjennom,by
19,chaud,varmt,hot
20,mot,ord,word
21,mais,korn,but
22,que,enn,what
23,certains,noen,some
24,est,er,is
25,il,han,it
26,vous,du,you
27,ou,Hvor,or
28,eu,hadde,had
29,la,de,the
30,de,av,of
31,à,Til,to
32,et,og,and
33,un,en,a
34,dans,i,in
35,nous,vi,we
36,boîte,eske,can
37,dehors,utenfor,out
38,autre,annen,other
39,étaient,var,were
40,qui,WHO,which
41,faire,å gjøre,do
42,leur,deres,their
43,temps,tid,time
44,si,hvis,if
45,volonté,vil,will
46,comment,"Hvordan? ""Eller"" hva",how
47,dit,sa,said
48,un,en,an
49,chaque,Hver,each
,,,
50,dire,å si,tell
51,ne,Født,does
52,ensemble,sammen,set
53,trois,tre,three
54,vouloir,vil,want
55,air,luft,air
56,bien,god,well
57,aussi,også,also
58,jouer,å leke,play
59,petit,liten,small
60,fin,slutt,end
61,mettre,å legge,put
62,maison,Hus,home
63,lire,lese,read
64,main,hånd,hand
65,port,Havn,port
66,grand,stor,large
67,épeler,å stave,spell
68,ajouter,legge til,add
69,même,samme,even
70,terre,Jord,land
71,ici,her,here
72,il faut,det er nødvendig,must
73,grand,stor,big
74,haut,høy,high
75,tel,Telefon,such
76,suivre,å følge,follow
77,acte,handling,act
78,pourquoi,Hvorfor,why
79,interroger,spørsmål,ask
80,hommes,menn,men
81,changement,endring,change
82,est allé,gikk,went
83,lumière,lys,light
84,genre,snill,kind
85,de,av,off
86,besoin,trenge,need
87,maison,Hus,house
88,image,bilde,picture
89,essayer,å prøve,try
90,nous,vi,us
91,encore,En gang til,again
92,animal,dyr,animal
93,point,punkt,point
94,mère,mor,mother
95,monde,verden,world
96,près de,nær,near
97,construire,å bygge,build
98,soi,selv-,self
,,,
99,terre,Jord,earth
100,père,far,father
101,tout,alle,any
102,nouveau,ny,new
103,travail,jobb,work
104,partie,del,part
105,prendre,å ta,take
106,obtenir,få,get
107,lieu,plass,place
108,fabriqué,laget,made
109,vivre,å leve,live
110,où,eller,where
111,après,etter,after
112,arrière,tilbake,back
113,peu,litt,little
114,seulement,kun,only
115,tour,tårn,round
116,homme,Mann,man
117,année,år,year
118,est venu,har kommet,came
119,montrer,å vise,show
120,tous,alle,every
121,bon,Vi vil,good
122,moi,meg,me
123,donner,å gi,give
124,notre,våre,our
125,sous,under,under
126,nom,Navn,name
127,très,veldig,very
128,par,gjennom,through
129,juste,bare,just
130,forme,form,form
131,phrase,frasering,sentence
132,grand,stor,great
133,penser,å tenke,think
134,dire,å si,say
135,aider,å hjelpe,help
136,faible,svak,low
137,ligne,linje,line
138,différer,å avvike,differ
139,tour,tårn,turn
140,la cause,årsaken,cause
141,beaucoup,mye,much
142,signifier,mener,mean
143,avant,før,before
144,déménagement,flytte,move
145,droit,lov,right
146,garçon,gutt,boy
147,vieux,gammel,old
148,trop,for mye,too
149,même,samme,same
150,elle,hun,she
151,tous,alle,all
152,là,de,there
153,quand,når,when
154,jusqu’à,opp til,up
155,utiliser,bruk,use
156,votre,din,your
157,manière,måte,way
158,sur,på,about
159,beaucoup,mye,many
160,puis,deretter,then
161,les,de,them
162,écrire,å skrive,write
163,voudrais,ønsker å,would
164,comme,som,like
165,si,hvis,so
166,ces,de,these
167,son,hans,her
168,long,lang,long
169,faire,å gjøre,make
170,chose,ting,thing
171,voir,se,see
172,lui,ham,him
173,deux,av dem,two
174,a,Til,has
175,regarder,å bekymre,look
176,plus,mer,more
177,jour,dag,day
178,pourrait,kunne,could
179,aller,gå,go
180,venir,å komme,come
181,fait,laget,did
182,nombre,Nummer,number
183,son,hans,sound
184,aucun,Nei,no
185,plus,mer,most
186,personnes,mennesker,people
187,ma,min,my
188,sur,på,over
189,savoir,vet,know
190,eau,vann,water
191,que,enn,than
192,appel,anrop,call
193,première,først,first
194,qui,WHO,who
195,peut,kan,may
196,vers le bas,ned,down
197,côté,side,side
,,,
198,été,sommer,been
199,maintenant,nå,now
200,trouver,å finne,find
201,tête,hode,head
202,supporter,Brukerstøtte,stand
203,propre,egen,own
204,page,side,page
205,devrait,bør,should
206,pays,land,country
207,trouvé,finne,found
208,réponse,svare,answer
209,école,skole,school
210,croître,vokse,grow
211,étude,studere,study
212,encore,En gang til,still
213,apprendre,å lære,learn
214,usine,fabrikk,plant
215,couvercle,lokk,cover
216,nourriture,mat,food
217,soleil,Sol,sun
218,quatre,fire,four
219,entre,Mellom,between
220,état,stat,state
221,garder,beholde,keep
222,œil,øye,eye
223,jamais,aldri,never
224,dernier,siste,last
225,laisser,la,let
226,pensée,tenkte,thought
227,ville,by,city
228,arbre,tre,tree
229,traverser,å krysse,cross
230,ferme,lukket,farm
231,dur,hard,hard
232,début,start,start
233,puissance,makt,might
234,histoire,historie,story
235,scie,sag,saw
236,loin,langt,far
237,mer,hav,sea
238,tirer,Dra,draw
239,gauche,venstre,left
240,tard,sent,late
241,courir,å løpe,run
242,needs a context,trenger en kontekst,don’t
243,tandis que,samtidig som,while
244,presse,skynde deg,press
245,proche,Lukk,close
246,nuit,natt,night
,,,
247,réel,ekte,real
248,vie,liv,life
249,peu,litt,few
250,nord,Nord,north
251,livre,levert,book
252,porter,bære,carry
253,a pris,tok,took
254,science,vitenskap,science
255,manger,å spise,eat
256,chambre,soverom,room
257,ami,venn,friend
258,a commencé,har begynt,began
259,idée,idé,idea
260,poisson,fisk,fish
261,montagne,fjell,mountain
262,Arrêtez,Stoppe,stop
263,une fois,En gang,once
264,base,basert,base
265,entendre,høre,hear
266,cheval,hest,horse
267,coupe,kappet av,cut
268,sûr,sikker,sure
269,regarder,å bekymre,watch
270,couleur,farge,color
271,face,ansikt,face
272,bois,drikke,wood
273,principal,hoved-,main
274,ouvert,åpen,open
275,paraître,å dukke opp,seem
276,ensemble,sammen,together
277,suivant,følgende,next
278,blanc,Hvit,white
279,enfants,barn,children
280,commencer,å starte,begin
281,eu,hadde,got
282,marcher,å gå,walk
283,exemple,eksempel,example
284,facilité,letthet,ease
285,papier,papir,paper
286,groupe,gruppe,group
287,toujours,bestandig,always
288,musique,musikk,music
289,ceux,de,those
290,tous les deux,både,both
291,marque,merke,mark
292,souvent,ofte,often
293,lettre,brev,letter
294,jusqu’à ce que,før,until
295,mile,mil,mile
,,,
296,rivière,elv,river
297,voiture,bil,car
298,pieds,føtter,feet
299,soins,omsorg,care
300,deuxième,sekund,second
301,assez,ganske,enough
302,plaine,vanlig,plain
303,fille,pike,girl
304,habituel,vanlig,usual
305,jeune,ung,young
306,prêt,klar,ready
307,au-dessus,ovenfor,above
308,jamais,aldri,ever
309,rouge,rød,red
310,liste,oppføring,list
311,bien que,selv om,though
312,sentir,føle,feel
313,parler,snakke,talk
314,oiseau,fugl,bird
315,bientôt,snart,soon
316,corps,kropp,body
317,chien,hund,dog
318,famille,familie,family
319,direct,direkte,direct
320,pose,posere,pose
321,laisser,la,leave
322,chanson,sang,song
323,mesurer,måle,measure
324,porte,dør,door
325,produit,produkt,product
326,noir,svart,black
327,court,kort,short
328,chiffre,figur,numeral
329,classe,klasse,class
330,vent,vind,wind
331,question,spørsmål,question
332,arriver,å ankomme,happen
333,complète,fullstendig,complete
334,navire,skip,ship
335,zone,sonet,area
336,moitié,halv,half
337,rock,stein,rock
338,ordre,rekkefølge,order
339,feu,Brann,fire
340,sud,Sør,south
341,problème,problem,problem
342,pièce,rom,piece
343,dit,sa,told
344,savait,visste,knew
,,,
345,passer,sende,pass
346,depuis,siden,since
347,haut,høy,top
348,ensemble,sammen,whole
349,roi,Konge,king
350,rue,gate,street
351,pouce,tommel,inch
352,multiplier,multiplisere,multiply
353,rien,ingenting,nothing
354,cours,Klasser,course
355,rester,å bli,stay
356,roue,hjul,wheel
357,plein,full,full
358,force,styrke,force
359,bleu,blå,blue
360,objet,gjenstand,object
361,décider,Bestemme seg for,decide
362,surface,område,surface
363,profond,dyp,deep
364,lune,måne,moon
365,île,Isle,island
